"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/559724/derek-barnett","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Derek Barnett","DE","6-3","265","JR","Nashville, TN"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/4035170/marquez-callaway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Marquez Callaway","WR","6-2","190","FR","Warner Robins, GA"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/4035171/tyler-byrd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Tyler Byrd","WR","6-0","195","FR","Naples, FL"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/4035172/d.j.-henderson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","D.J. Henderson","DB","6-1","180","JR","Lyman, SC"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/546540/joshua-dobbs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Joshua Dobbs","QB","6-3","210","SR","Alpharetta, GA"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/3915394/austin-smith","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Austin Smith","DL","6-3","236","SO","Buford, GA"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/3886565/quinten-dormady","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Quinten Dormady","QB","6-4","216","SO","Boerne, TX"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/559725/emmanuel-moseley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Emmanuel Moseley","DB","5-11","180","JR","Greensboro, NC"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/546543/malik-foreman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Malik Foreman","DB","5-10","190","SR","Kingsport, TN"
"","","11/1/2016 11:33:21 PM","http://www.espn.com/college-football/team/roster/_/id/2633","http://www.espn.com/college-football/player/_/id/3915379/sheriron-jones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Sheriron Jones","QB","6-2","208","FR","Perris, CA"
