"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/546362/luke-del-rio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Luke Del Rio","QB","6-1","211","SO","Santa Rosa Beach, FL"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/3915122/chris-williamson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Chris Williamson","DB","5-11","191","SO","Gainesville, GA"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/4034949/eddy-pineiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Eddy Pineiro","PK","6-0","173","SO","Miami, FL"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/3685767/brian-fallace","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Brian Fallace","TE","6-4","209","SO","Satellite Beach, FL"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/4034950/freddie-swain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Freddie Swain","WR","6-0","186","FR","Ocala, FL"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/551329/jordan-sherit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Jordan Sherit","DL","6-4","254","JR","Tampa, FL"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/3121661/c.j.-worton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","C.J. Worton","WR","6-0","196","JR","Homestead, FL"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/551335/johnny-townsend","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Johnny Townsend","P","6-1","211","JR","Orlando, FL"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/535922/marcus-maye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","Marcus Maye","DB","6-0","216","SR","Melbourne, FL"
"","","11/1/2016 11:25:55 PM","http://www.espn.com/college-football/team/roster/_/id/57","http://www.espn.com/college-football/player/_/id/4034951/mcarthur-burnett","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","McArthur Burnett","DB","5-9","174","FR","Pahokee, FL"
