"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3924331/justin-smith","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Justin Smith","WR","6-7","210","FR","Dublin, GA"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3122116/thomas-wilson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Thomas Wilson","S","5-10","195","JR","Suwanee, GA"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3940225/oke-akushe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Oke Akushe","DB","5-10","185","JR","--"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/4035099/dimetrios-mason","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Dimetrios Mason","WR","6-0","185","FR","Loganville, GA"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/4047306/hayden-rymer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Hayden Rymer","QB","6-1","210","FR","Windermere, FL"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/550104/jason-reese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Jason Reese","TE","6-5","250","JR","Euless, TX"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3122103/kendall-blanton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Kendall Blanton","TE","6-6","260","SO","Blue Springs, MO"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/550102/aarion-penton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Aarion Penton","DB","5-10","195","SR","--"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3924325/johnathon-johnson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Johnathon Johnson","WR","5-10","185","FR","Memphis, TN"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3924328/dominic-nelson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Dominic Nelson","S","6-0","200","JR","Florissant, MO"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3122115/spencer-williams","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Spencer Williams","DL","6-3","250","SO","Jacksonville, FL"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/4035100/micah-wilson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Micah Wilson","QB","6-3","205","FR","Tulsa, OK"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/4035101/greg-taylor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Greg Taylor","S","5-10","200","SO","East Saint Louis, IL"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3122117/ray-wingo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Ray Wingo","WR","5-11","185","SO","--"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3122106/keyon-dilosa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Keyon Dilosa","WR","6-3","205","SO","Round Rock, TX"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3122107/grant-jones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Grant Jones","LB","6-3","225","SO","Columbia, MO"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/536092/brock-bondurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Brock Bondurant","S","6-2","210","SR","Memphis, MO"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/4035102/damarea-crockett","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Damarea Crockett","RB","5-11","220","FR","Little Rock, AR"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3924315/marcell-frazier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Marcell Frazier","DL","6-5","260","JR","Portland, OR"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/4035103/demarkus-acy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","DeMarkus Acy","DB","6-2","190","FR","Dallas, TX"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3122102/desean-blair","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","DeSean Blair","WR","6-3","190","SO","Jacksonville, FL"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/4035104/dominic-collins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Dominic Collins","WR","6-2","180","JR","Fullerton, CA"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/120207/josh-moore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Josh Moore","DL","6-5","255","SO","Olathe, KS"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/4035097/jack-lowary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Jack Lowary","QB","6-4","220","JR","Huntington Beach, CA"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3125079/kaleb-prewett","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Kaleb Prewett","S","6-1","210","JR","Blue Springs, MO"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/550106/shaun-rupert","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Shaun Rupert","DB","6-1","195","JR","Montgomery, AL"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/4047307/miles-eaddy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","Miles Eaddy","RB","6-0","225","FR","Plantation, FL"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/4035105/christian-holmes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","Christian Holmes","DB","6-1","190","FR","Atlanta, GA"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3122119/ish-witter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","Ish Witter","RB","5-10","200","JR","Tampa, FL"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/4035106/dawson-downing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","Dawson Downing","DB","6-0","220","FR","Mission, KS"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/550107/anthony-sherrils","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","Anthony Sherrils","DB","6-0","205","JR","Kansas City, MO"
