"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78","Column 79","Column 80","Column 81","Column 82","Column 83","Column 84","Column 85"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/551292/reuben-foster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Reuben Foster","LB","6-1","236","SR","Auburn, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/536143/gehrig-dieter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Gehrig Dieter","WR","6-3","207","SR","South Bend, IN"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/559697/david-cornwell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","David Cornwell","QB","6-5","228","SO","Norman, OK"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/4040970/nigel-knott","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Nigel Knott","DB","5-11","175","FR","Madison, MS"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/551307/ardarius-stewart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","ArDarius Stewart","WR","6-1","204","JR","Fultondale, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3859100/deionte-thompson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Deionte Thompson","DB","6-2","190","FR","Orange, TX"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3859006/ronnie-harrison","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Ronnie Harrison","DB","6-3","216","SO","Tallahassee, FL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3126368/jk-scott","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","JK Scott","P","6-6","202","JR","Denver, CO"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3126363/jamey-mosley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Jamey Mosley","LB","6-5","228","SO","Mobile, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/4040723/t.j.-simmons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","T.J. Simmons","WR","6-2","201","FR","Pinson, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/559702/cam-sims","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Cam Sims","WR","6-5","203","JR","Monroe, LA"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/546359/cooper-bateman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Cooper Bateman","QB","6-3","220","JR","Murray, UT"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/4040716/shawn-jennings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Shawn Jennings","LB","6-2","200","FR","Dadeville, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3925352/xavian-marks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Xavian Marks","WR","5-8","166","SO","Rosenberg, TX"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/4040976/montana-murphy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Montana Murphy","QB","6-3","201","FR","Trophy Club, TX"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/559698/shaun-dion-hamilton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","Shaun Dion Hamilton","LB","6-0","232","JR","Montgomery, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/4040967/b.j.-emmons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","B.J. Emmons","RB","6-0","206","FR","Morganton, NC"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/4040973/rogria-lewis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","Rogria Lewis","DB","5-11","196","JR","Birmingham, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/534454/ryan-anderson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","Ryan Anderson","LB","6-2","253","SR","Daphne, AL"
