"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/548309/joseph-foster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Joseph Foster","WR","5-11","180","SR","Fredericksburg, VA"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/3912531/adam-scott","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Adam Scott","WR","5-7","165","SO","Denton, TX"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/3118862/kenny-smart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Kenny Smart","PK","6-1","195","JR","Modesto, CA"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/3912536/tom-stewart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Tom Stewart","QB","6-3","215","SO","Dallas, TX"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/4031089/cade-knox","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Cade Knox","QB","6-4","210","FR","Phoenix, AZ"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/4031090/camden-bohn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Camden Bohn","QB","6-4","225","FR","Granger, IN"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/4051242/justice-shelton-mosley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Justice Shelton-Mosley","WR","5-10","195","SO","Sacramento, CA"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/4031091/mark-czeisler","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Mark Czeisler","WR","6-2","200","SO","Sherborn, MA"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/548328/john-van-allen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","John Van Allen","WR","6-3","220","SR","Hartford, CT"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/3118852/chris-keegan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","Chris Keegan","S","6-3","205","JR","Roswell, GA"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/3912511/charlie-booker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","Charlie Booker","RB","5-9","200","SO","Houston, TX"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/4031092/devin-judd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","Devin Judd","DB","6-1","155","FR","Dayton, MD"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/3912521/christian-houston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","Christian Houston","WR","5-11","185","SO","Waldorf, MD"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/3912529/noah-reimers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","Noah Reimers","RB","5-11","205","SO","Leesburg, VA"
"","","11/1/2016 9:11:22 PM","http://www.espn.com/college-football/team/roster/_/id/108/harvard-crimson","http://www.espn.com/college-football/player/_/id/3912515/jordan-dubin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","Jordan Dubin","WR","6-3","195","SO","New York, NY"
